"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"RPS28"	-0.209251578444823	3.24740077233738	-20.4323035075294	3.00634506633362e-92	1.41762835082477e-89	195.647428189739
"HLA-DPA1"	0.228935090382319	0.791521070847484	20.4077769486865	4.93726489147309e-92	2.28657080286348e-89	195.152508978118
"SH3BGRL3"	0.267310110249018	2.3439837255654	20.3878400426715	7.38638738428238e-92	3.36080625984848e-89	194.750631601089
"HSPE1"	-0.281553903857564	1.48183000498568	-20.290667890222	5.23281947316735e-91	2.3398822937344e-88	192.797378555593
"RPS15"	-0.231622377732878	3.22985381339945	-20.2727623164126	7.49872617670114e-91	3.29626209140244e-88	192.438453782529
"NR4A1"	-0.231978769185115	0.65113594487994	-20.1885640377835	4.05452834941648e-90	1.75256987903527e-87	190.754813426082
"RPL26"	0.261052811274722	2.37086022377766	20.1502235282015	8.72398834325018e-90	3.70912520790481e-87	189.99041944129
"HSP90AB1"	-0.278252243073426	2.18657195392674	-20.1452291917425	9.63868814841516e-90	4.03192543756689e-87	189.890951952823
"SERTAD1"	-0.209310366545286	0.666020320853304	-20.0777653425625	3.69771459873836e-89	1.52222584314729e-86	188.549698645428
"EIF1"	-0.191806624583611	3.06115370621126	-19.6464607059477	1.80282442206219e-85	7.30566427909106e-83	180.078843295046
"ARPC3"	0.222444672985378	1.25898032447586	19.4956943065573	3.36321500648124e-84	1.34192278758601e-81	177.16021303554
"JUNB"	-0.309412240585322	2.63144694338497	-19.4298172548919	1.19960272082074e-83	4.71389341886151e-81	175.891829772609
"HSPD1"	-0.252542306387984	1.17963839307969	-19.4000521523572	2.12802909092614e-83	8.23737827957755e-81	175.320116481864
"EVL"	0.223484636059846	1.08819955251385	19.3777248364228	3.2693994502101e-83	1.2469393344294e-80	174.891827524217
"FYB"	0.226526813253103	1.1326504072218	19.3723233744703	3.62704263477002e-83	1.36329493815595e-80	174.788287644974
"CDKN1A"	-0.211470739666387	0.64281911188319	-19.3588637533028	4.69724899025138e-83	1.74033075088814e-80	174.530404926626
"CD8A"	0.234244543813546	0.663168473165033	19.301824400734	1.4023882128038e-82	5.1226673660657e-80	173.439493254354
"MYL12B"	0.22237733455766	1.33533055558816	19.2959263166042	1.57003650183476e-82	5.65540231598394e-80	173.326868619626
"RPL13"	-0.221095315479984	3.90012775428185	-19.2215400013909	6.50378041788183e-82	2.31062390599678e-79	171.909345071895
"RGCC"	-0.315852506508732	1.78185283375436	-19.2018330180218	9.46902061203446e-82	3.31863580504208e-79	171.534702160714
"RARRES3"	0.22020116188852	1.04064086883773	19.1706043334965	1.71589219379345e-81	5.93355520613775e-79	170.941794544662
"DNAJA1"	-0.284083790162166	1.72868717307925	-19.1101320176784	5.41109138245042e-81	1.84653493426121e-78	169.796354076087
"RGS1"	0.289335373110781	1.55275047141482	18.9711778709616	7.47493558764408e-80	2.5176942138383e-77	167.177773233569
"CORO1A"	0.239600490086984	1.40106988723717	18.8666442685592	5.32250371458402e-79	1.76973248509919e-76	165.220183250999
"IL2RG"	0.223531130011507	1.20443629719079	18.8332453677553	9.94325336369692e-79	3.26428197452506e-76	164.596959300764
"OAZ1"	-0.226067930580659	2.0759047851194	-18.770885500336	3.18445454645347e-78	1.03236035827839e-75	163.436219500759
"CAP1"	0.178377099316727	0.620247586397693	18.6936578287273	1.3390592629925e-77	4.2874693809519e-75	162.003966073857
"SRSF2"	-0.227701927739153	1.26560786890334	-18.6688049877898	2.12325515090146e-77	6.71544174861335e-75	161.544279706426
"CD53"	0.193143787455095	0.800581295353618	18.4543300479897	1.10642203231893e-75	3.45723559134836e-73	157.602192744832
"RPL28"	-0.165952064162014	3.93639675928723	-18.4252093319955	1.88602460450939e-75	5.82310096642273e-73	157.070392721946
"MYL6"	0.212643841101099	2.08899877365304	18.3057397212167	1.66754377283363e-74	5.0879703233459e-72	154.897270475486
