"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.02826343063659,0.378,0.022,0,"21","GTSE1"
0,5.19661453583024,0.344,0.017,0,"21","DLGAP5"
0,5.53177174892929,0.331,0.016,0,"21","HIST1H1B"
0,5.79224561934208,0.284,0.012,0,"21","KIF15"
0,4.95808637262084,0.26,0.013,0,"21","DEPDC1B"
0,6.00966769231861,0.812,0.06,0,"22","IGFBP3"
0,6.16359023407947,0.735,0.033,0,"22","HEY1"
0,7.57415490818282,0.682,0.008,0,"22","SEMA3G"
0,5.92059812099025,0.667,0.026,0,"22","MECOM"
0,7.63494249008044,0.535,0.007,0,"22","GJA5"
0,5.82854213337386,0.53,0.02,0,"22","PCSK5"
0,5.84012813281636,0.521,0.02,0,"22","VEGFC"
0,6.15709869153394,0.364,0.007,0,"22","BMX"
0,7.04781056703499,0.348,0.006,0,"22","TMEM100"
0,6.98815264241763,0.276,0.003,0,"22","TMEM178A"
0,7.67168518420459,0.932,0.047,0,"23","KRT14"
0,6.30186834578091,0.911,0.052,0,"23","KRT17"
0,6.4891960293515,0.661,0.023,0,"23","TNS4"
0,7.45006380218258,0.511,0.006,0,"23","COL17A1"
0,8.30914204523911,0.483,0.008,0,"23","OXTR"
0,7.33340310887794,0.451,0.008,0,"23","CALML3"
0,6.94772767638246,0.351,0.013,0,"23","SYT8"
0,6.87492727966209,0.326,0.006,0,"23","TP63"
0,7.13375621957786,0.272,0.002,0,"23","DLK2"
0,6.34829445017267,0.278,0.01,0,"23","IRX4"
0,4.11370447976938,0.493,0.076,0,"24","CPVL"
0,3.95738937871042,0.408,0.034,0,"24","CSF2RA"
0,4.47522630209337,0.381,0.027,0,"24","LGALS2"
0,3.2885275084863,0.378,0.039,0,"24","TOP2A"
0,4.53913593320966,0.325,0.016,0,"24","WDFY4"
0,4.98794756348917,0.298,0.017,0,"24","IDO1"
0,3.30078795012549,0.301,0.024,0,"24","GTSE1"
0,5.01296179361585,0.294,0.027,0,"24","S100B"
0,3.63366368655629,0.273,0.021,0,"24","SHCBP1"
0,3.22583684554448,0.271,0.025,0,"24","HMMR"
0,4.35507702333347,0.646,0.093,0,"25","IFIT1"
0,4.0685466226581,0.658,0.115,0,"25","IFIT3"
0,4.67991624670053,0.576,0.056,0,"25","RSAD2"
0,3.52217688630212,0.622,0.107,0,"25","OASL"
0,4.73923699354155,0.551,0.075,0,"25","IFIT2"
0,4.17207991223988,0.487,0.062,0,"25","CMPK2"
1.98753177832111e-284,3.75995640299145,0.525,0.084,5.1546636670758e-280,"25","HERC5"
3.03276178216049e-262,3.38369643046648,0.589,0.114,7.86546768203324e-258,"25","MX2"
4.36579679677234e-260,3.46212860423945,0.764,0.22,1.13226939924291e-255,"25","MX1"
1.67303972877844e-220,3.35449787172426,0.633,0.159,4.33902853658688e-216,"25","OAS1"
0,10.1363644273958,0.881,0.003,0,"26","LILRA4"
0,6.58347527937396,0.81,0.02,0,"26","PLD4"
0,7.062998403294,0.684,0.01,0,"26","SMPD3"
0,10.7306210587825,0.658,0.002,0,"26","PTCRA"
0,8.67556559554781,0.639,0.004,0,"26","SCT"
0,10.7449885586422,0.635,0,0,"26","CLEC4C"
0,6.37589403510613,0.619,0.01,0,"26","SPIB"
0,7.46983454672673,0.365,0.003,0,"26","PACSIN1"
0,7.61279257357696,0.348,0.002,0,"26","RP11-117D22.2"
0,10.7598731030043,0.31,0.001,0,"26","SHD"
0,7.77021264526646,0.803,0.012,0,"27","MMRN1"
0,8.93680664141714,0.787,0.014,0,"27","CCL21"
0,7.69781334427023,0.567,0.01,0,"27","PROX1"
0,6.97598147156675,0.409,0.006,0,"27","SCN3B"
0,7.21473579452196,0.394,0.003,0,"27","GPM6A"
0,6.69226897204427,0.394,0.005,0,"27","SEMA3D"
0,7.31995209388148,0.346,0.003,0,"27","RP11-322E11.5"
0,6.7430890145036,0.331,0.003,0,"27","RELN"
0,7.57082636507805,0.276,0.002,0,"27","ART4"
0,7.54019538281198,0.268,0.003,0,"27","KLHL4"
