Mixture	Basal cells	Epithelial	Endothelial	Fibroblasts	Pericytes	Monocyte	Macrophage	T cells	B cells	pDC	P-value	Correlation	RMSE
BA00221	0.000604309916920183	0.10862359732058	0.037295117687667	0.173265741985274	0.00542968071714444	0	0.0877822852619493	0.338384107812515	0.183172323925792	0.0654428353721579	0	0.552237545854661	0.900221846342755
BA00222	0	0.383528388326082	0.0330251881156509	0.199411880519708	0.0384613436842772	0.0420487944580552	0.105768441776723	0.0720327732446821	0.0632480845782039	0.0624751052966184	0	0.384708138482362	1.07275482671452
BA00223	0	0.351557977257038	0.024221031509807	0.126449935987113	0.0404727051610106	0	0.258729420817796	0.125415707426804	0.0190479285844378	0.0541052932559936	0	0.530888762002273	0.941110905442939
BA00224	0.0278342763540618	0.19271557639308	0.0337987284005411	0.39075044766527	0.116367583959371	0.0321216299068426	0.0898212349471771	0.0811642067084596	0.0015646626166364	0.0338616530485605	0	0.470106591982197	1.00132034289288
BA00225	0	0.737442101686943	0	0.0870419890184397	0.0525875104225087	0	0.0495866306769728	0.0454410063268933	0	0.0279007618682424	0	0.489189789406327	0.997635224599504
BA00226	0	0.266947628970561	0.0245263612482254	0.167580014967635	0.0272153035735496	0	0.195464895229674	0.0862832416721438	0.178226785253764	0.0537557690844461	0	0.428333164213419	1.01995656840015
BA00227	0	0.580428860750196	0.018914853925011	0.125903874406987	0.0487328374897604	0	0.0919029826064478	0.0619015322261806	0.0333071532107399	0.038907905384677	0	0.441952399100323	1.03105975598214
BA00229	0	0.492750258629471	0.0468340701336818	0.139171046908274	0.0639794531250764	0	0.100859088781797	0.0835903014383283	0.0214543559470563	0.0513614250363155	0	0.336053111882403	1.12207617554165
BA00230	0	0.278233897271164	0.0445320702709506	0.379461158072824	0.0669680778215776	0	0.0500717258100344	0.0975527684306684	0.0383364081765806	0.0448438941462011	0	0.582978682080715	0.884922412493283
BA00231	0.0361523862629587	0.55004342291495	0.0236377261702825	0.0983522233796967	0.0872692593798637	0	0.0947016320269426	0.0512595481999829	0.0136500141058943	0.0449337875594282	0	0.50508097206737	0.973621020088192
BA00232	0.0290514925502097	0.414837129595533	0.0307850937245009	0.138151337469303	0.0561811336876998	0.0241415242972607	0.0942171729989749	0.108817992833783	0.0580273929924746	0.0457897298502609	0	0.508222164710032	0.960233846350499
BA00233	0	0.619251827546053	0.0762041975588757	0.0680784131433831	0.103090610992041	0	0.0436567429297517	0.0297165373996274	0.02351355404292	0.0364881163873483	0	0.460956638012128	1.01810006729207
BA00234	0	0.710755566434038	0	0.049302876707254	0.0524790511754043	0	0.0585291919135956	0.0822977593232751	0	0.0466355544464328	0	0.441800799625088	1.04096474352361
BA00235	0	0.545078032032702	0.0253678001342742	0.144030832434514	0.0353730533587971	0	0.133396383438167	0.0711956171776879	0	0.0455582814238583	0	0.475994116004195	1.00152565921452
BA00236	0	0.367291099542799	0.0450433520216909	0.15414579275937	0.0697452766484684	0	0.139458850651195	0.0935093740213468	0.0690911384890765	0.0617151158660535	0	0.448163029302992	1.01461377983175
BA00237	0	0.636363038359915	0.0219038360076777	0.0963378160934493	0.0847033407822241	0.021970297288703	0.049017695710885	0.0401142168098821	0.0205136263020788	0.029076132645185	0	0.435976701661071	1.04112499720949
BA00398	0	0.485650761248619	0.0407059900384422	0.203650408423385	0.0693894718386699	0	0.121743373385584	0.0522544995065813	0	0.0266054955587177	0	0.542832306120895	0.934136862283496
BA00401	0	0.433255154038529	0.000743295260560614	0.0473921055630994	0.0541798017012222	0	0.165556657091775	0.162894774718605	0.0904887559942259	0.0454894556319828	0	0.585005730764707	0.879558911668604
BA00402	0	0.516393989717656	0	0.187438622744336	0.0482054347281608	0	0.112114015076724	0.0851776793109947	0.00616437780123363	0.044505880620895	0	0.563531112685851	0.912073797673014
BA00403	0.0747102200878692	0.401573551329567	0.0199481566061909	0.258459906750187	0.0452506805492287	0	0.0924808017435064	0.0541405103998765	0.0141518220989167	0.039284350434658	0	0.595258013966321	0.87757407346439
BA00404	0	0.40287353009168	0.0130880531195084	0.188050447560913	0.0351653583586344	0	0.152871864149117	0.102023761488081	0.0527889609488194	0.0531380242832464	0	0.385617755487638	1.07241639756839
BA00405	0	0.45729730851827	0.0264770688286062	0.177191779851015	0.0524093642717575	0	0.146065349021692	0.111870068696954	0	0.0286890608117047	0	0.566501625339409	0.907343000048793
BA00406	0	0.452575424334941	0.0390404178792617	0.240208442962274	0.083716352956422	0.0357980844553822	0.0200046865156109	0.0842563326401284	0	0.0444002582559796	0	0.540134902861121	0.935634103981926
BA00408	0	0.170808250922426	0.0438754366733702	0.377717081627136	0.0723171037268739	0	0.116878588030213	0.136289037213923	0.0262229911388957	0.0558915106671633	0	0.491073297141488	0.976011310241998
BA00409	0	0.48651409132285	0.0344246484584467	0.293164777386204	0.0689036097231756	0	0.0154934164904159	0.0379524463955722	0.0216866451376515	0.0418603650856836	0	0.549074224808255	0.927030226097228
BA00410	0.0487660128245555	0.572317910732944	0.0338805315932609	0.0783889439928571	0.0315384690865918	0	0.105562940690539	0.0995607104016593	0	0.0299844806775928	0	0.43925320713865	1.03764542033606
BA00411	0	0.519255383353467	0.011432041619666	0.236507913755802	0.0444961745006896	0	0.0650806195458951	0.0700353511118038	0	0.0531925161126767	0	0.354743420699569	1.10999159606545
BA00412	0	0.526032468705754	0.00839807645449232	0.0568010145081179	0.0616574367535366	0	0.126460357419717	0.0937312410213463	0.0809760786418832	0.0459433264951518	0	0.556731161998295	0.912938411552847
BA00413	0.0864380541062867	0.246360932218154	0.0354257691066079	0.303665810465139	0.0617162084502738	0	0.107387636278266	0.102694232028338	0.0177107370092042	0.0386006203377312	0	0.625351352408461	0.841108561430149
BA00414	0	0.505968084904827	0.00270827694583849	0.364045220022823	0.0158925914331517	0.0180066991901087	0.00164917364214835	0.0492359018188167	0	0.0424940520422862	0	0.571939588811904	0.90599096025033
BA00415	0	0.424057833964354	0.0615626861277954	0.172202636515047	0.0405618420610298	0	0.076302179957858	0.119219488759617	0.0358060909100539	0.0702872417042448	0	0.567392620945211	0.90290663278157
BA00417	0	0.272356899834569	0.00868253526527979	0.29878630566644	0.0575756990226498	0	0.150802346683036	0.106373321331789	0.0515023051666029	0.0539205870296337	0	0.564681270211381	0.901387858586549
BA00418	0.0197658603672693	0.144695479877475	0.0451258389562963	0.147527895207508	0.0770469119057734	0	0.093127381456628	0.249214854460528	0.145142624343874	0.0783531534246487	0	0.543543586425169	0.912370181995529
BA00419	0.0190558096714739	0.392769225659356	0.021365675997345	0.135007145271392	0.0777037808274113	0.0395871137657824	0.176915078706655	0.0953619553943859	0.00762218042145541	0.0346120342847431	0	0.535099786191804	0.938655544234706
BA00420	0.0301882272164344	0.374270328634366	0.00724018566882017	0.218999331048775	0.142093475284063	0.0344202754648634	0.0691431362971276	0.0342819829172567	0.0671501257322963	0.0222129317359978	0	0.26985798467509	1.16868566221628
BA00422	0.0214861487062442	0.311460285139289	0.0360764594378358	0.24387220666	0.0970618589422517	0	0.107773766543624	0.133575294526455	0.00350033668427707	0.0451936433600238	0	0.595247227935132	0.87391071959633
BA00423	0	0.521591971664439	0.0341051500672006	0.147642275777872	0.010850138676626	0.0492350529513542	0.084393735450047	0.104227651194424	0	0.0479540242180374	0	0.456409381617645	1.01863602471574
BA00424	0.0373987504783127	0.455139236429771	0.0450640429090338	0.0901096116899849	0.0211997665986017	0.035427924236879	0.0652453625550381	0.172715221486971	0.0284866984084341	0.0492133852069734	0	0.419391614300404	1.04696299875502
BA00425	0	0.284881267004927	0	0.172245910062778	0.0511882852885656	0	0.0956463898536587	0.134663927293479	0.213398522641025	0.0479756978555669	0	0.416101628539118	1.02557456459155
BA00426	0.0206413975625464	0.204757467170136	0.0491037870726575	0.250182147441891	0.0630174180122103	0.0270279556629376	0.0393943747199234	0.182860463732807	0.107356157553803	0.0556588310710884	0	0.393256290713726	1.05495092081614
BA00427	0	0.552611191482146	0.0209526284951498	0.142946123813943	0.06036647461203	0	0.078149670215779	0.0933944206444699	0.00515740948584835	0.0464220812506337	0	0.411045474886476	1.06044550423391
BA00428	0	0.552895392243711	0	0.143701713388369	0.0633467686229395	0.0440986789679252	0.0348336508814314	0.0716499916146298	0.0454255239619866	0.0440482803190079	0	0.472007017653856	1.00042650925944
BA00429	0	0.574679181930848	0	0.139569455517593	0.0708981274256305	0	0.0989950808620845	0.0556135213182065	0.0149177486253489	0.0453268843202886	0	0.526664123237194	0.951585921376739
BA00430	0	0.237016462316312	0	0.255103003585104	0.0634424848648124	0	0.248155086783767	0.0299582534253861	0.140221675422955	0.0261030336016627	0	0.270712925501437	1.15598617679413
BA00431	0.0424340891412674	0.214868200709805	0.0614674442603073	0.257964412368657	0.0887227937542355	0	0.151399552946357	0.0929569780285506	0.0500500473777028	0.0401364814131169	0	0.591536612530651	0.874030926648061
BA00432	0.00515550291274152	0.378997143188734	0.036139729323397	0.200339709780865	0.0835402388630207	0	0.0935730524573611	0.0986411074035468	0.0491051548215632	0.0545083612487713	0	0.562053002171651	0.906180344060749
BA00435	0	0.22263479627509	0.0285939025980031	0.0352483774926369	0.0290230679173629	0	0.0941438581896233	0.312863156446533	0.228927684322986	0.0485651567577645	0	0.536849389173921	0.913932672747862
BA00436	0.000581352778775011	0.466488306580097	0.0115369328572097	0.322524332521941	0.0660154727262198	0.00382145696862386	0.0224589145141152	0.053057173175891	0	0.0535160578771277	0	0.566139030166156	0.9106905344779
BA00437	0	0.473608869737639	0.00161506506362558	0.215871531827528	0.0623526921540134	0	0.120955665885123	0.0789360462827332	0	0.046660129049338	0	0.508199251564933	0.967514513562174
BA00438	0	0.527408304024698	0	0.2263042824188	0.0557083140204191	0	0.131265737258421	0.0204332002087543	0	0.0388801620689076	0	0.530862556577525	0.948357855928109
BA00439	0.107692668009916	0.121199404587854	0.0278716631291759	0.250657196627742	0.162892344812971	0.060772795274084	0.0196771794096636	0.0553904609949229	0.164253661237187	0.0295926259164836	0	0.394305034396039	1.05266080222067
BA00440	0	0.524565769448248	0.0447875226415802	0.250291096255829	0.0548281707956066	0	0.0282211396753453	0.0453523959608967	0	0.0519539052224942	0	0.556719322857381	0.922055663235442
BA00441	0	0.536202868249002	0	0.113811036222003	0.0594264144710723	0	0.0937103951824582	0.0985278445833463	0.0485763651631715	0.0497450761289466	0	0.438316326156406	1.03016021702641
BA00442	0	0.466604960283698	0.0238805008486394	0.136603253417255	0.0443585343131227	0	0.118919022066413	0.123609428078776	0.0243332756947168	0.0616910252973787	0	0.426738854694912	1.04079142036349
BA00443	0	0.461537790823706	0.0401996081047156	0.113011509877359	0.0240494469601102	0	0.164025931184447	0.107840762890836	0.0249398760039389	0.0643950741548877	0	0.528363572117059	0.94530767449298
BA00445	0	0.350780277936141	0.0415452248298171	0.0751451591557501	0.0436451988079667	0	0.163523278563943	0.157236328646809	0.0864609796391254	0.0816635524204477	0	0.481982571002554	0.98142939965795
BA00446	0.0876382764832803	0.451189515713241	0.00256860220692286	0.134135139870714	0.124457697954201	0.0790040067620938	0	0.065127841737318	0.0243614493576575	0.0315174699145712	0	0.283573846699256	1.16687977550286
BA00447	0.0779663171342819	0.273033893811998	0.0455789987710092	0.211322115374734	0.0588267546019116	0.0212886402386189	0.0837273239119195	0.110086112659499	0.071485155727224	0.0466846877688034	0	0.494367889918285	0.970470497772462
BA00449	0	0.455114955645311	0.0269725865242771	0.173767684756264	0.0713800224911313	0	0.134980708062229	0.0414800289532841	0.0536812567412346	0.0426227568262687	0	0.472920905153819	0.996324053511212
BA00450	0	0.489786151973978	0.0129228095416591	0.108223412260441	0.0478604766247104	0.0296222718440691	0.0323648863266269	0.158738674901771	0.0622512976671186	0.0582300188596263	0	0.51377395708578	0.955271255685848
BA00451	0	0.292534263671974	0.0193643215296656	0.070568224707529	0.0528358526346095	0	0.0469683589794474	0.272142748596156	0.161125644193659	0.0844605856869601	0	0.459566083160744	0.992688290667885
