"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"RPL37A"	1.01091072532301	1.89180452861522	38.7521960203844	2.36679226867768e-296	5.84597690363388e-294	665.489181173492
"CD48"	0.729223155720065	0.481026445376358	38.7173144368977	7.13048005757964e-296	1.74461321031442e-293	664.386906833178
"RPL27A"	1.13254457908517	1.72914154314225	38.5977275681471	3.1124228901958e-294	7.54398950067553e-292	660.612670854434
"MYL12A"	0.894569883107389	0.839536130663922	38.5426121272436	1.76952350345133e-293	4.24931407981577e-291	658.875682913267
"TXNIP"	1.11234765298376	1.15254575916077	38.187925188643	1.22628047049436e-288	2.91776000020838e-286	647.735372684615
"PFDN5"	0.917579465619047	1.60890479973131	37.9377434347815	3.06091804185486e-285	7.21680994686415e-283	639.917106480528
"RPL31"	1.052122282315	1.43793561669122	37.5886671311526	1.59219610363176e-280	3.72014467997205e-278	629.063756589943
"SEC11C"	-0.912667206739271	0.983814513417522	-37.5273857808256	1.06419252824543e-279	2.46427082321832e-277	627.165129180549
"RPL38"	0.992989173386166	1.34691917089219	37.5069354017504	2.00515054728477e-279	4.60208667644517e-277	626.531980734156
"CD83"	1.10067074124721	0.842030665344864	37.4428875915445	1.45605115794175e-278	3.31251638431748e-276	624.550498907231
"RPL6"	0.885642818194988	2.53105494190538	37.2396004455375	7.75763982709705e-276	1.74951642535445e-273	618.275932529956
"RPL35"	0.888570562431298	2.14711053758568	37.2066283559129	2.14313322387633e-275	4.79156553114075e-273	617.260336533762
"RPL4"	0.931881242487728	1.76213640411655	37.1324211765853	2.10547684067652e-274	4.66714033016629e-272	614.976786844594
"RPL7A"	0.860791429173663	2.86324780835796	36.8356900586692	1.89780997624295e-270	4.17116116388651e-268	605.875568985628
"VPREB3"	0.679787341994467	0.397282550252264	36.7207466928482	6.37716543408788e-269	1.38984693725268e-266	602.363027667298
"HLA-DMB"	0.627998278083244	0.363539890909276	36.6747559788866	2.59700151325294e-268	5.61276952051791e-266	600.959639110057
"IFITM2"	0.809017179153306	0.649627376617192	36.5079768186123	4.18546152680983e-266	8.97106980973662e-264	595.880236679317
"EEF1B2"	0.929733254249907	2.03788264868655	36.4596673770971	1.819100029797e-265	3.86707862891682e-263	594.411808277191
"RPL13A"	1.19846642470301	1.95723634250345	36.3482818932372	5.357846288352e-264	1.12972149177568e-261	591.031043819084
"HLA-A"	0.961848468593603	2.18829997118405	36.2632090689042	7.06400265682504e-263	1.4774589427803e-260	588.453575378652
"CD53"	0.725961769748341	0.562758420784476	35.9925148636099	2.51938540254206e-259	5.22722083319426e-257	580.279260688524
"SELL"	0.672358848351544	0.414230943648751	35.9738926250121	4.41583060198065e-259	9.08925132241017e-257	579.718428193044
"REL"	0.836834241542578	0.655091150574475	35.8352876408538	2.8597741602695e-257	5.84001912177869e-255	575.550315187783
"STK17A"	0.716880183210545	0.521157794284206	35.6962602662585	1.8553723196915e-255	3.75930321181243e-253	571.380432328854
"FKBP2"	-0.749953848311797	0.772969134311374	-35.6722875749882	3.80550782585217e-255	7.65084073360279e-253	570.662523631041
"COTL1"	0.726583540740449	0.503749960142984	35.5521423629319	1.38626995920481e-253	2.76560856861361e-251	567.069476646293
"CFL1"	0.89134614102505	1.25628701866588	35.53137215665	2.57881398454808e-253	5.10546112131714e-251	566.449161064187
"BTF3"	0.859556031288166	1.31393363288453	35.201348626906	4.78992334029353e-249	9.4111107447358e-247	556.626005453464
"NPM1"	0.86571928915414	1.22896607153494	35.0843077749576	1.54074924536029e-247	3.00446102845256e-245	553.157365229213
"ZFAS1"	0.839070667681176	0.778468701783356	34.5985755671805	2.55080109574744e-241	4.93694227001566e-239	538.847341145552
"HSP90B1"	-0.936042061807999	1.27993767679077	-34.5577325512589	8.45021773230505e-241	1.62338071768394e-238	537.650376485146
"GLTSCR2"	0.784786409449988	0.887908340952279	34.3714409210432	1.96848442398058e-238	3.7538708482306e-236	532.203311442814
"PFN1"	0.896952715507649	1.35605477093818	34.2346445995878	1.06357836512207e-236	2.01342371528765e-234	528.21655109696
"COMMD6"	0.752412193463959	0.777767980693975	33.9866506153792	1.43052026423295e-233	2.68844514875954e-231	521.017494535519
"FXYD5"	0.781526207085651	0.840322568086532	33.9491518967742	4.23832717440232e-233	7.90798670993698e-231	519.932140469172
"MT-CO3"	0.860512523678752	3.29790550843937	33.8449184505502	8.63843702309815e-232	1.60027045852893e-229	516.919668179271
"CD79B"	0.656857414380097	0.53157601208598	33.1318521009005	6.55401908230587e-223	1.20552116950073e-220	496.4876709851
"RPL23"	0.879487362607923	1.09285998584974	33.1012434609972	1.5655785468509e-222	2.85938588820973e-220	495.617570440685
"IRF8"	0.608873084425656	0.39191391509082	32.9406937865641	1.49332395572869e-220	2.70834662879886e-218	491.06313784499
"GPSM3"	0.644122298515081	0.560843843712585	32.8808218292776	8.13901691279922e-220	1.46587085856561e-217	489.36878040997
